TMAXSEQWIN,"当前位置之前,连续盈利交易的最大次数",,,,,,
TMAXSEQLOSS,"当前位置之前,连续亏损交易的最大次数",,,,,,
LASTOFFSETPROFIT,最近一次交易的平仓盈亏,,,,,,
OFFSETPROFIT1,累计平仓盈亏,,,,,,
T_PLUS,"当条件满足时,过滤模型的开仓手数为默认手数*N",,,,,,
#CALL_PLUS,"[CODE,PERIOD,N,FORMULA] AS VAR引用CODE合约PERIOD参数为N的周期下的指标FORMULA的数据",,,,,,
NEWHBARS,求高于当前X的第N个X的距离,,,,,,
BKVOL2,模组多头持仓,,,,,,
SKVOL2,模组空头持仓,,,,,,
TRADE_REF,判断前N次交易是否赢利,,,,,,
TPROFIT_REF,取得前第N次交易的盈亏额,,,,,,
ISCONTRACT,当前是否为指定的合约,,,,,,
TODAYWINTIMES,判断当日赢利次数,,,,,,
TODAYLOSSTIMES,判断当日亏损次数,,,,,,
TODAYDEUCETIMES,判断当日平出次数,,,,,,
ISLASTSTOP,判断上一个指令是否是STOP指令 ,,,,,,
OPENMINUTE,返回开盘后经过的分钟数,,,,,,
OPENMINUTE1,返回开盘后经过的分钟数,,,,,,
NEWLBARS,求低于当前X的第N个X的距离,,,,,,
STKTYPE,取市场类型,,,,,,
HARMEAN,求X在N个周期内的调和平均值,,,,,,
MEDIAN,求X在N个周期内的中位数,,,,,,
MODE,求X在N个周期内最常出现的值,,,,,,
COEFFICIENTR,求X、Y在N个周期内的皮尔森相关系数,,,,,,
CORRELATION,求X、Y在N个周期内的相关系数,,,,,,
COVAR,求X、Y在N个周期内的协方差,,,,,,
KURTOSIS,求X在N个周期内的峰度系数,,,,,,
SKEWNESS,求X在N个周期内的偏度系数,,,,,,
DRAWGBK1,"当条件COND成立时,以K线宽度、COLOR颜色填充背景区域,高度为整个显示区域的最高到最低",,,,,,
MV,取A到P的均值,,,,,,
SIGNUM,返回值为当前信号为一次交易过程中的第几个信号,,,,,,
SIGVOL,返回一次交易中第N个信号的下单手数,,,,,,
REFSIG_VOL,返回从当根K线开始倒数第N个固定的Sig信号的信号手数(反手指令取开仓手数),,,,,,
BKPRICEAV,返回数据合约多头开仓均价,,,,,,
SKPRICEAV,返回数据合约空头开仓均价,,,,,,
DRAWLINE2,"满足条件C1时及之后最后一次满足C2时从P1向P2画线。EXP为画线0不延伸,EXP不为0画线延伸",,,,,,
GETEVENT,"判断是否发生了CLASS的突发事件,并显示图标",,,,,,
DRAWVALID,连接DATA中的有效值画折线,,,,,,
GETBASEINFO,取基本面数据中具体某一个分类CLASS的数值,,,,,,
TRADE_SMOOTHING,消除隔夜跳空函数,,,,,,
AVAILABLE_OPI,可用手数,,,,,,
PANZHONG_MIN,设置信号确认与复核的指令价方式（股票合约逐分钟回测）,,,,,,
PEAK,取变量X在条件P下的之字转向的前M个波峰的值,,,,,,
PEAKBARS,取变量X在条件P下的之字转向的前M个波峰的位置,,,,,,
REFX,取X在N个周期后的值,,,,,,
TROUGH,取变量X在条件P下的之字转向的前M个波谷的值,,,,,,
TROUGHBARS,取变量X在条件P下的之字转向的前M个波谷的位置,,,,,,
WAVEPEAK,返回K线图波峰位置,,,,,,
WAVEVALLEY,返回K线图波谷位置,,,,,,
WAVEPEAK1,判断当前K线是否为DATA变量的波峰位置。N为周期数,,,,,,
WAVEVALLEY1,判断当前K线是否为DATA变量的波谷位置。N为周期数,,,,,,
ZIGZAG,求X在条件N下的之字转向值,,,,,,
BACKSET,"若X成立,则将当前位置到N周期前的数值设为1",,,,,,
BARSCOUNT,返回COND第一个有效值的位置到当前的周期数,,,,,,
VARIABLE,定义全局变量并初始化,,,,,,
CONDITION_ORDER,公式条件单模型关键字,,,,,,
MEDIAN1,求A...P的中位数（支持最多16个参数）,,,,,,
IDLE,限制开仓信号发出委托,,,,,,
REFX1,"取X在N个周期后的值,不足N周期取最后一根的值",,,,,,
REFLINE1,设定指标参考线,,,,,,
#CALL_OTHER,[FORMULA] AS VAR 跨指标引用,,,,,,
SORTPOS,"按升(降)序排列,取第POS个参数的原始位置",,,,,,
SORT,"按升(降)序排列,取第POS个参数对应的数值",,,,,,
TAVWINLOSS,平均盈亏额,,,,,,
TAVWIN,平均盈利额,,,,,,
TAVLOSS,平均亏损额,,,,,,
TMAXWIN,单次盈利最大额,,,,,,
TMAXLOSS,单次亏损最大额,,,,,,
ISMAINCONTRACT,当前是否为主力合约,,,,,,
STOCKDIVD,设置股票除权复权,,,,,,
MATCHPERCENT,设置TICK周期买卖量按百分比撮合成交,,,,,,
K_STATE,判断K线形态,,,,,,
K_STATE1,判断K线形态,,,,,,
K_STATE2,判断K线形态,,,,,,
K_STATE3,判断K线形态,,,,,,
K_STATE4,判断K线形态,,,,,,
DAYBARPOS,当根k线为当天第几根k线,,,,,,
DRAWCOLORKLINE,绘制K线,,,,,,
NOTEXT,不显示数值,,,,,,
BKPRICEAV1,交易合约多头开仓均价,,,,,,
SKPRICEAV1,交易合约空头开仓均价,,,,,,
DAYSTOEXPIRED,"期货合约距最后交易日的天数,CODE为文华码",,,,,,
SETALLLOSTSIGPRICETYPE,设置模型中所有信号消失已相同委托方式进行处理,,,,,,
SETLOSTSIGPRICETYPE,不同的信号消失设置不同的委托方式。,,,,,,
DRAWLINE3,满足条件C1时向左偏移X1个周期及满足条件C2时向左偏移X2个周期从P1向P2画线。,,,,,,
CONDITION_ORDER1,公式条件单模型关键字,,,,,,
SAR1,"取抛物转向值N为周期数,Step为步长,Max为极值",,,,,,
